Tiempo,VoltajeCH1,ResolucionVCH1
-1.9e-06,0.008,0.004
-1.898e-06,0.008,0.004
-1.896e-06,0.004,0.004
-1.894e-06,0.004,0.004
-1.892e-06,0.004,0.004
-1.8900000000000001e-06,0.008,0.004
-1.888e-06,0.004,0.004
-1.886e-06,0.0,0.004
-1.884e-06,0.008,0.004
-1.882e-06,0.008,0.004
-1.88e-06,0.008,0.004
-1.878e-06,0.008,0.004
-1.876e-06,0.012,0.004
-1.874e-06,0.004,0.004
-1.872e-06,0.008,0.004
-1.87e-06,0.008,0.004
-1.868e-06,0.008,0.004
-1.866e-06,0.012,0.004
-1.864e-06,0.008,0.004
-1.862e-06,0.008,0.004
-1.86e-06,0.008,0.004
-1.858e-06,0.008,0.004
-1.856e-06,0.004,0.004
-1.854e-06,0.008,0.004
-1.852e-06,0.004,0.004
-1.85e-06,0.004,0.004
-1.848e-06,0.008,0.004
-1.846e-06,0.008,0.004
-1.844e-06,0.008,0.004
-1.8420000000000001e-06,0.004,0.004
-1.84e-06,0.004,0.004
-1.838e-06,0.008,0.004
-1.836e-06,0.008,0.004
-1.834e-06,0.008,0.004
-1.832e-06,0.004,0.004
-1.83e-06,0.012,0.004
-1.8280000000000001e-06,0.008,0.004
-1.826e-06,0.008,0.004
-1.824e-06,0.012,0.004
-1.822e-06,0.008,0.004
-1.82e-06,0.012,0.004
-1.818e-06,0.016,0.004
-1.816e-06,0.008,0.004
-1.814e-06,0.012,0.004
-1.812e-06,0.008,0.004
-1.81e-06,0.008,0.004
-1.808e-06,0.016,0.004
-1.806e-06,0.012,0.004
-1.804e-06,0.012,0.004
-1.802e-06,0.008,0.004
-1.8e-06,0.008,0.004
-1.798e-06,0.012,0.004
-1.796e-06,0.012,0.004
-1.794e-06,0.012,0.004
-1.792e-06,0.008,0.004
-1.79e-06,0.008,0.004
-1.788e-06,0.012,0.004
-1.786e-06,0.016,0.004
-1.784e-06,0.012,0.004
-1.782e-06,0.008,0.004
-1.78e-06,0.016,0.004
-1.778e-06,0.016,0.004
-1.776e-06,0.012,0.004
-1.774e-06,0.012,0.004
-1.772e-06,0.012,0.004
-1.77e-06,0.012,0.004
-1.768e-06,0.016,0.004
-1.7660000000000001e-06,0.012,0.004
-1.764e-06,0.016,0.004
-1.762e-06,0.016,0.004
-1.76e-06,0.02,0.004
-1.758e-06,0.02,0.004
-1.756e-06,0.024,0.004
-1.754e-06,0.016,0.004
-1.752e-06,0.02,0.004
-1.75e-06,0.024,0.004
-1.748e-06,0.02,0.004
-1.746e-06,0.024,0.004
-1.744e-06,0.024,0.004
-1.742e-06,0.024,0.004
-1.74e-06,0.02,0.004
-1.738e-06,0.032,0.004
-1.736e-06,0.032,0.004
-1.734e-06,0.032,0.004
-1.732e-06,0.032,0.004
-1.73e-06,0.036000000000000004,0.004
-1.728e-06,0.036000000000000004,0.004
-1.726e-06,0.036000000000000004,0.004
-1.724e-06,0.036000000000000004,0.004
-1.722e-06,0.04,0.004
-1.72e-06,0.044,0.004
-1.718e-06,0.044,0.004
-1.716e-06,0.048,0.004
-1.714e-06,0.048,0.004
-1.712e-06,0.052000000000000005,0.004
-1.71e-06,0.052000000000000005,0.004
-1.708e-06,0.056,0.004
-1.706e-06,0.06,0.004
-1.7040000000000001e-06,0.056,0.004
-1.702e-06,0.06,0.004
-1.7e-06,0.06,0.004
-1.698e-06,0.064,0.004
-1.696e-06,0.064,0.004
-1.694e-06,0.068,0.004
-1.692e-06,0.068,0.004
-1.69e-06,0.07200000000000001,0.004
-1.688e-06,0.068,0.004
-1.686e-06,0.07200000000000001,0.004
-1.684e-06,0.076,0.004
-1.682e-06,0.076,0.004
-1.68e-06,0.076,0.004
-1.678e-06,0.076,0.004
-1.676e-06,0.076,0.004
-1.674e-06,0.07200000000000001,0.004
-1.672e-06,0.076,0.004
-1.67e-06,0.08,0.004
-1.668e-06,0.076,0.004
-1.666e-06,0.07200000000000001,0.004
-1.664e-06,0.076,0.004
-1.662e-06,0.076,0.004
-1.66e-06,0.076,0.004
-1.658e-06,0.07200000000000001,0.004
-1.656e-06,0.07200000000000001,0.004
-1.654e-06,0.07200000000000001,0.004
-1.652e-06,0.068,0.004
-1.6499999999999999e-06,0.068,0.004
-1.648e-06,0.068,0.004
-1.646e-06,0.064,0.004
-1.644e-06,0.06,0.004
-1.6420000000000001e-06,0.06,0.004
-1.64e-06,0.06,0.004
-1.638e-06,0.06,0.004
-1.636e-06,0.06,0.004
-1.634e-06,0.052000000000000005,0.004
-1.632e-06,0.06,0.004
-1.63e-06,0.056,0.004
